"VerbNo","Item","Verb","GenderNP1","GenderNP2","Block","Condition","List","Connective","Prompt"
"se-15",15,"ängstigen","f","m","non-creative",1,3,"punkt","Katharina ängstigte Rüdiger."
"se-15",15,"ängstigen","m","f","non-creative",2,4,"punkt","Rüdiger ängstigte Katharina."
"es-15",15,"fürchten","f","m","non-creative",3,1,"punkt","Katharina fürchtete Rüdiger."
"es-15",15,"fürchten","m","f","non-creative",4,2,"punkt","Rüdiger fürchtete Katharina."
"se-15",15,"ängstigen","f","m","creative",5,2,"punkt","Katharina ängstigte Rüdiger."
"se-15",15,"ängstigen","m","f","creative",6,1,"punkt","Rüdiger ängstigte Katharina."
"es-15",15,"fürchten","f","m","creative",7,4,"punkt","Katharina fürchtete Rüdiger."
"es-15",15,"fürchten","m","f","creative",8,3,"punkt","Rüdiger fürchtete Katharina."
"se-16",16,"entzücken","f","m","non-creative",1,2,"punkt","Stefanie entzückte Dennis."
"se-16",16,"entzücken","m","f","non-creative",2,3,"punkt","Dennis entzückte Stefanie."
"es-16",16,"vertrauen","f","m","non-creative",3,4,"punkt","Stefanie vertraute Dennis."
"es-16",16,"vertrauen","m","f","non-creative",4,1,"punkt","Dennis vertraute Stefanie."
"se-16",16,"entzücken","f","m","creative",5,1,"punkt","Stefanie entzückte Dennis."
"se-16",16,"entzücken","m","f","creative",6,4,"punkt","Dennis entzückte Stefanie."
"es-16",16,"vertrauen","f","m","creative",7,3,"punkt","Stefanie vertraute Dennis."
"es-16",16,"vertrauen","m","f","creative",8,2,"punkt","Dennis vertraute Stefanie."
"se-17",17,"irritieren","f","m","non-creative",1,1,"punkt","Mareike irritierte Felix."
"se-17",17,"irritieren","m","f","non-creative",2,2,"punkt","Felix irritierte Mareike."
"es-17",17,"vermissen","f","m","non-creative",3,3,"punkt","Mareike vermisste Felix."
"es-17",17,"vermissen","m","f","non-creative",4,4,"punkt","Felix vermisste Mareike."
"se-17",17,"irritieren","f","m","creative",5,4,"punkt","Mareike irritierte Felix."
"se-17",17,"irritieren","m","f","creative",6,3,"punkt","Felix irritierte Mareike."
"es-17",17,"vermissen","f","m","creative",7,2,"punkt","Mareike vermisste Felix."
"es-17",17,"vermissen","m","f","creative",8,1,"punkt","Felix vermisste Mareike."
"se-18",18,"erstaunen","f","m","non-creative",1,4,"punkt","Marie erstaunte Klaus."
"se-18",18,"erstaunen","m","f","non-creative",2,1,"punkt","Klaus erstaunte Marie."
"es-18",18,"ekeln sich vor","f","m","non-creative",3,2,"punkt","Marie ekelte sich vor Klaus."
"es-18",18,"ekeln sich vor","m","f","non-creative",4,3,"punkt","Klaus ekelte sich vor Marie."
"se-18",18,"erstaunen","f","m","creative",5,3,"punkt","Marie erstaunte Klaus."
"se-18",18,"erstaunen","m","f","creative",6,2,"punkt","Klaus erstaunte Marie."
"es-18",18,"ekeln sich vor","f","m","creative",7,1,"punkt","Marie ekelte sich vor Klaus."
"es-18",18,"ekeln sich vor","m","f","creative",8,4,"punkt","Klaus ekelte sich vor Marie."
"se-19",19,"erschüttern","f","m","non-creative",1,3,"punkt","Alisa erschütterte Alexander."
"se-19",19,"erschüttern","m","f","non-creative",2,4,"punkt","Alexander erschütterte Alisa."
"es-19",19,"sorgen sich um","f","m","non-creative",3,1,"punkt","Alisa sorgte sich um Alexander."
"es-19",19,"sorgen sich um","m","f","non-creative",4,2,"punkt","Alexander sorgte sich um Alisa."
"se-19",19,"erschüttern","f","m","creative",5,2,"punkt","Alisa erschütterte Alexander."
